touch_number,touch_volume_level,event_count,total_events,excluded_count,success_count,failure_count,neutral_count,success_rate,failure_rate,neutral_rate,resolved_success_rate
#1,elevated,13,13,0,4,7,2,0.3076923076923077,0.5384615384615384,0.15384615384615385,0.36363636363636365
#1,low,16,16,0,10,5,1,0.625,0.3125,0.0625,0.6666666666666666
#1,normal,20,20,0,3,12,5,0.15,0.6,0.25,0.2
#1,spike,7,7,0,2,3,2,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.4
#2,elevated,4,4,0,2,1,1,0.5,0.25,0.25,0.6666666666666666
#2,low,11,11,0,7,3,1,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.7
#2,normal,6,6,0,1,4,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.2
#2,spike,6,6,0,1,5,0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666
#3,elevated,2,2,0,1,1,0,0.5,0.5,0.0,0.5
#3,low,4,4,0,1,3,0,0.25,0.75,0.0,0.25
#3,normal,6,6,0,1,4,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.2
#3,spike,4,4,0,0,3,1,0.0,0.75,0.25,0.0
#4+,elevated,61,61,0,15,37,9,0.2459016393442623,0.6065573770491803,0.14754098360655737,0.28846153846153844
#4+,low,68,68,0,21,35,12,0.3088235294117647,0.5147058823529411,0.17647058823529413,0.375
#4+,normal,85,85,0,28,42,15,0.32941176470588235,0.49411764705882355,0.17647058823529413,0.4
#4+,spike,39,39,0,9,24,6,0.23076923076923078,0.6153846153846154,0.15384615384615385,0.2727272727272727
