probability_low,probability_high,prediction_count,average_predicted_probability,actual_success_rate
0.0,0.1,5,0.07715461081439752,0.2
0.1,0.2,26,0.15172632468647365,0.34615384615384615
0.2,0.3,27,0.24799267005568915,0.2962962962962963
0.3,0.4,36,0.3511969470522278,0.2222222222222222
0.4,0.5,46,0.45163441032523055,0.32608695652173914
0.5,0.6,22,0.5504169102451696,0.36363636363636365
0.6,0.7,23,0.6521564418919603,0.5217391304347826
0.7,0.8,7,0.7329698623794132,0.14285714285714285
0.8,0.9,1,0.8084331426864778,0.0
0.9,1.0,1,0.9077530153794443,0.0
