kind,source,event_count,success_count,failure_count,neutral_count,resolved_count,success_given_source
family,swing,207,62,116,29,178,0.34831460674157305
family,volume_profile,126,45,58,23,103,0.4368932038834951
family,vwap,77,25,40,12,65,0.38461538461538464
family,kmeans,88,23,46,19,69,0.3333333333333333
combination,kmeans,25,4,13,8,17,0.23529411764705882
combination,kmeans+swing,35,10,19,6,29,0.3448275862068966
combination,kmeans+swing+volume_profile,4,4,0,0,4,1.0
combination,kmeans+swing+volume_profile+vwap,3,1,1,1,2,0.5
combination,kmeans+swing+vwap,2,0,1,1,1,0.0
combination,kmeans+volume_profile,13,3,8,2,11,0.2727272727272727
combination,kmeans+volume_profile+vwap,3,0,2,1,2,0.0
combination,kmeans+vwap,3,1,2,0,3,0.3333333333333333
combination,swing,113,29,71,13,100,0.29
combination,swing+volume_profile,30,9,16,5,25,0.36
combination,swing+volume_profile+vwap,6,2,2,2,4,0.5
combination,swing+vwap,14,7,6,1,13,0.5384615384615384
combination,volume_profile,55,22,22,11,44,0.5
combination,volume_profile+vwap,12,4,7,1,11,0.36363636363636365
combination,vwap,34,10,19,5,29,0.3448275862068966
