feature,bucket,success_count,failure_count,bucket_count,observed_success_count,observed_failure_count,p_given_success,p_given_failure,likelihood_ratio,log_likelihood_ratio,low_sample_warning
current_touch_number_bucket,1,19,27,46,106,189,0.18181818181818182,0.14507772020725387,1.2532467532467533,0.22573758649125653,False
current_touch_number_bucket,2,11,13,24,106,189,0.10909090909090909,0.07253886010362694,1.5038961038961038,0.4080591432852114,False
current_touch_number_bucket,3,3,11,14,106,189,0.03636363636363636,0.06217616580310881,0.5848484848484848,-0.5364024655556405,False
current_touch_number_bucket,4+,73,138,211,106,189,0.6727272727272727,0.7202072538860104,0.9340745585349902,-0.06819901681405272,False
touch_rebound_trend,strengthening,26,55,81,64,141,0.40298507462686567,0.3888888888888889,1.0362473347547974,0.03560585545421435,False
touch_rebound_trend,stable,14,29,43,64,141,0.22388059701492538,0.20833333333333334,1.0746268656716418,0.07197349962508937,False
touch_rebound_trend,weakening,24,57,81,64,141,0.373134328358209,0.4027777777777778,0.9264024704065877,-0.07644650549318399,False
touch_volume_level,low,39,46,85,106,189,0.36363636363636365,0.24352331606217617,1.493230174081238,0.4009416755163471,False
touch_volume_level,normal,33,62,95,106,189,0.3090909090909091,0.32642487046632124,0.9468975468975469,-0.05456437866290198,False
touch_volume_level,elevated,22,46,68,106,189,0.20909090909090908,0.24352331606217617,0.8586073500967117,-0.15244356266843972,False
touch_volume_level,spike,12,35,47,106,189,0.11818181818181818,0.18652849740932642,0.6335858585858586,-0.4563597578821039,False
volatility_level,低波動,0,0,0,106,189,0.00909090909090909,0.0051813471502590676,1.7545454545454544,0.562209823112469,True
volatility_level,中等波動,50,54,104,106,189,0.4636363636363636,0.2849740932642487,1.6269421487603304,0.48670227060432414,False
volatility_level,高波動,34,99,133,106,189,0.3181818181818182,0.5181347150259067,0.6140909090909091,-0.48761230138620837,False
volatility_level,極高波動,22,36,58,106,189,0.20909090909090908,0.19170984455958548,1.0906633906633907,0.08678612639739458,False
support_source_count_bucket,1,61,118,179,106,189,0.5636363636363636,0.616580310880829,0.9141329258976317,-0.08977928495396847,False
support_source_count_bucket,2,34,59,93,106,189,0.3181818181818182,0.31088082901554404,1.0234848484848484,0.023213322379782353,False
support_source_count_bucket,3,6,9,15,106,189,0.06363636363636363,0.05181347150259067,1.228181818181818,0.20553487917373703,False
support_source_count_bucket,4+,5,3,8,106,189,0.05454545454545454,0.02072538860103627,2.6318181818181814,0.9676749312206336,True
distance_to_support_atr_bucket,<=0.25,56,105,161,106,189,0.5181818181818182,0.5492227979274611,0.9434819897084049,-0.05817800316504762,False
distance_to_support_atr_bucket,"(0.25,0.5]",17,32,49,106,189,0.16363636363636364,0.17098445595854922,0.9570247933884297,-0.043925980457846237,False
distance_to_support_atr_bucket,"(0.5,1]",25,43,68,106,189,0.23636363636363636,0.22797927461139897,1.0367768595041322,0.03611672721569015,False
distance_to_support_atr_bucket,>1,8,9,17,106,189,0.08181818181818182,0.05181347150259067,1.579090909090909,0.45684930745464314,False
zone_width_atr_bucket,<0.5,99,183,282,106,189,0.9090909090909091,0.9533678756476683,0.9535573122529645,-0.0475557485084249,False
zone_width_atr_bucket,"[0.5,1)",7,6,13,106,189,0.07272727272727272,0.03626943005181347,2.0051948051948054,0.6957412157369918,False
zone_width_atr_bucket,"[1,1.5)",0,0,0,106,189,0.00909090909090909,0.0051813471502590676,1.7545454545454544,0.562209823112469,True
zone_width_atr_bucket,>=1.5,0,0,0,106,189,0.00909090909090909,0.0051813471502590676,1.7545454545454544,0.562209823112469,True
bars_since_last_touch_bucket,0-5,9,9,18,87,162,0.10989010989010989,0.060240963855421686,1.8241758241758241,0.6011282818396935,False
bars_since_last_touch_bucket,6-20,50,91,141,87,162,0.5604395604395604,0.5542168674698795,1.0112279025322504,0.011165337514978613,False
bars_since_last_touch_bucket,21-60,21,39,60,87,162,0.24175824175824176,0.24096385542168675,1.0032967032967033,0.003291281084072839,False
bars_since_last_touch_bucket,>60,7,23,30,87,162,0.08791208791208792,0.14457831325301204,0.6080586080586081,-0.4974840068284163,False
